x_mm,y_mm,z_mm,status,reason,theta1_deg,theta2_deg,theta3_deg,fk_x_mm,fk_y_mm,fk_z_mm,roundtrip_error_mm,fk_iterations,fk_max_residual_mm2
5.0,15.0,-265.0,ok,ok,0.8785902931205002,6.527287184279508,4.709231880714932,5.000000000009215,15.000000000005254,-264.99999999999744,1.0911736606350133e-11,4,2.9103830456733704e-11
10.0,15.0,-265.0,ok,ok,0.8136771126302188,7.367940951798837,3.732595800282795,9.999999999999135,15.000000000000028,-265.0000000000002,8.949189851450014e-13,4,5.820766091346741e-11
15.0,15.0,-265.0,ok,ok,0.7054980863720329,8.16263603867998,2.711530966042126,15.000000000003302,15.000000000003164,-265.0000000000624,6.258139023462258e-11,4,3.425520844757557e-08
20.0,15.0,-265.0,ok,ok,0.5540669718713499,8.911190234454727,1.6466176515216164,20.00000000000109,15.00000000000058,-264.9999999999997,1.2679816287829033e-12,5,1.4551915228366852e-11
25.0,15.0,-265.0,ok,ok,0.3594017228345347,9.613499384597167,0.5385111602533598,25.00000000000044,14.999999999999558,-264.99999999999983,6.471426680472797e-13,5,1.4551915228366852e-11
30.0,15.0,-265.0,fail,ik_reject,,,,,,,,,
-30.0,20.0,-265.0,fail,ik_reject,,,,,,,,,
-25.0,20.0,-265.0,fail,ik_reject,,,,,,,,,
-20.0,20.0,-265.0,fail,ik_reject,,,,,,,,,
-15.0,20.0,-265.0,fail,ik_reject,,,,,,,,,
-10.0,20.0,-265.0,fail,ik_reject,,,,,,,,,
-5.0,20.0,-265.0,fail,ik_reject,,,,,,,,,
0.0,20.0,-265.0,fail,ik_reject,,,,,,,,,
5.0,20.0,-265.0,fail,ik_reject,,,,,,,,,
10.0,20.0,-265.0,fail,ik_reject,,,,,,,,,
15.0,20.0,-265.0,fail,ik_reject,,,,,,,,,
20.0,20.0,-265.0,fail,ik_reject,,,,,,,,,
25.0,20.0,-265.0,fail,ik_reject,,,,,,,,,
30.0,20.0,-265.0,fail,ik_reject,,,,,,,,,
